VAT;FIRST_NAME;LAST_NAME;EMAIL;PHONE;ADDRESS;COUNTY;BILL_ID;DESCRIPTION;AMOUNT;DATE_DUE
4231571696;Brenton;Avila;Brenton_Avila@gmail.com;858220765;Bay Street 468;Pico Rivera;2bc41f59-d42e-4be5-a89c-81ba8c09bc50;Guitar;62,15;20170723
9893021746;Madisyn;Dickson;Madisyn_Dickson@yahoo.com;858799341;Woodland Drive 550;Los Angeles;5f52f8dc-adad-41d7-bdc2-b9bcf7dc9619;Gas;11,3;20171006
6144151499;Amber;Kline;Amber_Kline@msn.com;858777016;Willow Street 417;El Monte;6a666611-6396-4d86-a44b-ad50086e1beb;Food Inspection;23,53;20171107
4481793108;Elsie;Hull;Elsie_Hull@gmail.com;858172845;Spruce Street 191;West Hollywood;b58cc83c-e58c-49aa-b369-e53b4d77b8e3;Singing;55,73;20171015
0079544829;Chaim;Pope;Chaim_Pope@gmail.com;858309941;College Street 889;Santa Fe Springs;436c9760-2614-4457-83da-e712b1b12e96;Water;73,88;20171029
8678597718;Yandel;Underwood;Yandel_Underwood@hotmail.com;858808471;Cedar Court 257;Compton;744e21f3-687f-4f18-ab05-25952e23511b;Ballet;49,23;20170719
9310603155;Haylee;Rivers;Haylee_Rivers@yahoo.com;858210898;Overlook Circle 332;Long Beach;91f7aac0-a0a2-407d-bf24-8b0461339bde;Television;82,92;20170731
1670459132;Ryker;Blackburn;Ryker_Blackburn@hol.com;858954762;Grant Avenue 682;Monterey Park;0634c562-93f0-4ac7-9872-f6ada5b60e2b;Dancing;36,53;20170913
4107952613;Amelie;Morales;Amelie_Morales@yahoo.com;858426652;Route 17 468;La Habra Heights;ad34c0b0-bbe6-4509-87f7-c7d440f61147;Singing;41,11;20171019
7653639152;Lance;Levy;Lance_Levy@gmail.com;858202612;Hudson Street 155;Agoura Hills;3fdeb936-8ba8-4678-917d-e6362d27c255;Food Inspection;19,37;20171010
0075369137;Cadence;Munoz;Cadence_Munoz@hol.com;858983155;Valley Drive 150;Inglewood;af3ac911-0cab-4bc1-bef1-3e26f50ed8a8;Food Inspection;43,31;20170712
